trait,broaderTerm,narrowerTerm,relatedTerm,valueType,expectedUnit,factorLevels,maxAllowedValue,minAllowedValue,traitDescription,comments,source,fa_y
FirstMainHibernationRoost,,,,categorical,.na,"Thermally stable underground roosts (e.g. caves, mines, etc.), thermally unstable underground roosts (e.g. cellar, bunker, etc.), human-made roost (e.g. buildings, barns, churches, etc.), tree roost (e.g. holes, crevices, barck pockets, etc.), rock crevices",.na,.na,"Main hibernation roost: thermally stable underground roosts (e.g. caves, mines, etc.), thermally unstable underground roosts (e.g. cellar, bunker, etc.), human-made roost (e.g. buildings, barns, churches, etc.), tree roost (e.g. holes, crevices, barck pockets, etc.), rock crevices",,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
FirstMainMaternityRoost,,,,categorical,.na,"Thermally stable underground roosts (e.g. caves, mines, etc.), thermally unstable underground roosts (e.g. cellar, bunker, etc.), human-made roost (e.g. buildings, barns, churches, etc.), tree roost (e.g. holes, crevices, barck pockets, etc.), rock crevices",.na,.na,"Main maternity roost: thermally stable underground roosts (e.g. caves, mines, etc.), thermally unstable underground roosts (e.g. cellar, bunker, etc.), human-made roost (e.g. buildings, barns, churches, etc.), tree roost (e.g. holes, crevices, barck pockets, etc.), rock crevices",,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
SecondMainHibernationRoost,,,,categorical,.na,"Thermally stable underground roosts (e.g. caves, mines, etc.), thermally unstable underground roosts (e.g. cellar, bunker, etc.), human-made roost (e.g. buildings, barns, churches, etc.), tree roost (e.g. holes, crevices, barck pockets, etc.), rock crevices",.na,.na,"Second main hibernation roost: thermally stable underground roosts (e.g. caves, mines, etc.), thermally unstable underground roosts (e.g. cellar, bunker, etc.), human-made roost (e.g. buildings, barns, churches, etc.), tree roost (e.g. holes, crevices, barck pockets, etc.), rock crevices",,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
SecondMainMaternityRoost,,,,categorical,.na,"Thermally stable underground roosts (e.g. caves, mines, etc.), thermally unstable underground roosts (e.g. cellar, bunker, etc.), human-made roost (e.g. buildings, barns, churches, etc.), tree roost (e.g. holes, crevices, barck pockets, etc.), rock crevices",.na,.na,"Second main maternity roost: thermally stable underground roosts (e.g. caves, mines, etc.), thermally unstable underground roosts (e.g. cellar, bunker, etc.), human-made roost (e.g. buildings, barns, churches, etc.), tree roost (e.g. holes, crevices, barck pockets, etc.), rock crevices",,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
ThirdMainHibernationRoost,,,,categorical,.na,"Thermally stable underground roosts (e.g. caves, mines, etc.), thermally unstable underground roosts (e.g. cellar, bunker, etc.), human-made roost (e.g. buildings, barns, churches, etc.), tree roost (e.g. holes, crevices, barck pockets, etc.), rock crevices",.na,.na,"Third main hibernation roost: thermally stable underground roosts (e.g. caves, mines, etc.), thermally unstable underground roosts (e.g. cellar, bunker, etc.), human-made roost (e.g. buildings, barns, churches, etc.), tree roost (e.g. holes, crevices, barck pockets, etc.), rock crevices",,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
ThirdMainMaternityRoost,,,,categorical,.na,"Thermally stable underground roosts (e.g. caves, mines, etc.), thermally unstable underground roosts (e.g. cellar, bunker, etc.), human-made roost (e.g. buildings, barns, churches, etc.), tree roost (e.g. holes, crevices, barck pockets, etc.), rock crevices",.na,.na,"Third main maternity roost: thermally stable underground roosts (e.g. caves, mines, etc.), thermally unstable underground roosts (e.g. cellar, bunker, etc.), human-made roost (e.g. buildings, barns, churches, etc.), tree roost (e.g. holes, crevices, barck pockets, etc.), rock crevices",,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
"OvergroundRoostDependence-Castle
",,,,categorical,.na,"0: no dependence, 1: low dependence, 2: moderate dependence, 3: high dependence, 4: very high dependence, 5: extremely high dependence.",.na,.na,"Degree of dependence on castle/fortification as overground roost: 0: no dependence, 1: low dependence, 2: moderate dependence, 3: high dependence, 4: very high dependence, 5: extremely high dependence.",,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
"OvergroundRoostDependence-Church
",,,,categorical,.na,"0: no dependence, 1: low dependence, 2: moderate dependence, 3: high dependence, 4: very high dependence, 5: extremely high dependence.",.na,.na,"Degree of dependence on church as overground roost: 0: no dependence, 1: low dependence, 2: moderate dependence, 3: high dependence, 4: very high dependence, 5: extremely high dependence.",,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
"OvergroundRoostDependence-House
",,,,categorical,.na,"0: no dependence, 1: low dependence, 2: moderate dependence, 3: high dependence, 4: very high dependence, 5: extremely high dependence.",.na,.na,"Degree of dependence on house/block of flats as overground roost: 0: no dependence, 1: low dependence, 2: moderate dependence, 3: high dependence, 4: very high dependence, 5: extremely high dependence.",,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
"OvergroundRoostDependence-Barn
",,,,categorical,.na,"0: no dependence, 1: low dependence, 2: moderate dependence, 3: high dependence, 4: very high dependence, 5: extremely high dependence.",.na,.na,"Degree of dependence on barn/stable as overground roost: 0: no dependence, 1: low dependence, 2: moderate dependence, 3: high dependence, 4: very high dependence, 5: extremely high dependence.",,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
"OvergroundRoostDependence-Bridge
",,,,categorical,.na,"0: no dependence, 1: low dependence, 2: moderate dependence, 3: high dependence, 4: very high dependence, 5: extremely high dependence.",.na,.na,"Degree of dependence on bridge as overground roost: 0: no dependence, 1: low dependence, 2: moderate dependence, 3: high dependence, 4: very high dependence, 5: extremely high dependence.",,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
"OvergroundRoostDependence-Tree
",,,,categorical,.na,"0: no dependence, 1: low dependence, 2: moderate dependence, 3: high dependence, 4: very high dependence, 5: extremely high dependence.",.na,.na,"Degree of dependence on tree as overground roost: 0: no dependence, 1: low dependence, 2: moderate dependence, 3: high dependence, 4: very high dependence, 5: extremely high dependence.",,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
MeanNightlyDistance,,,,numeric,m,.na,,,Mean average daily distance between roost and foraging habitats,,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
MaxNightlyDistance,,,,numeric,m,.na,,,Mean maximum daily distance between roost and foraging habitats,,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
HomeRange,,,,numeric,ha,.na,,,"Area routinely used by an individual to satisfy its daily needs: mean, median, min, max and cumulated.",,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
DispersalDistances,,,,numeric,km,.na,,,"Regular dispersal distances, includes both natal dispersal of juveniles and dispersal of adults for mating / hibernation",,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
MaxRecordedMovement,,,,numeric,km,.na,,,Maximum recorded seasonal movement (includes migration movement),,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
ManoeuvrabilityTurningDiameter,,,,numeric,m,.na,,,"Estimated realistic turning diameter for minimum flight speed, using values for ﬂight characteristics (ﬂight speed, wing loading) and body measures (body mass, wing area)",,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
PropFlightAtHeight,,,,numeric,%,.na,,,Proportion of flights at height,,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
wingspan,,,,numeric,cm,.na,,,"The linear distance from wing tip to wing tip, or the distance from the midline of the body to a single wing tip, doubled",,https://doi.org/10.1111/mam.12270,Crane_2022
wing_surface_area,,,,numeric,cm2,.na,,,The full area of the patagium,,https://doi.org/10.1111/mam.12270,Crane_2022
lifting_surface_area,,,,numeric,cm2,.na,,,"The total area of the patagium, uropatagium (if present), and body excluding the head",,https://doi.org/10.1111/mam.12270,Crane_2022
wing_area_rec,,,,numeric,cm2,.na,,,The rectangular approximation of the patagium based on the wing length (measured from the edge of the body to the wing tip) multiplied by the wing width (measured from the end of the fifth digit to the tip of the fifth digit),,https://doi.org/10.1111/mam.12270,Crane_2022
partial_aspect_ratio,,,,numeric,.na,.na,,,"The wingspan squared, divided by wing_area",,https://doi.org/10.1111/mam.12270,Crane_2022
total_aspect_ratio,,,,numeric,.na,.na,,,"The wingspan squared, divided by lifting_surface_area",,https://doi.org/10.1111/mam.12270,Crane_2022
partial_wing_loading,,,,numeric,Nm−2,.na,,,Body weight divided by wing_surface_area,,https://doi.org/10.1111/mam.12270,Crane_2022
total_wing_loading,,,,numeric,Nm−2,.na,,,Body weight divided by lifting_surface_area,,https://doi.org/10.1111/mam.12270,Crane_2022
relative_partial_loading,,,,numeric,.na,.na,,,"partial_wing_loading divided by body mass raised to the 1/3 power. Body mass, not weight should be used",,https://doi.org/10.1111/mam.12270,Crane_2022
relative_total_loading,,,,numeric,.na,.na,,,"total_wing_loading divided by body mass raised to 1/3. Body mass, not weight should be used",,https://doi.org/10.1111/mam.12270,Crane_2022
female_maturity_d,,,,numeric,Days,.na,,,Age at first conception.,"B,R,M",https://doi.org/10.1890/15-0846R.1,Myhrvold_2015
litter_or_clutch_size_n,,,,numeric,Number,.na,,,Number of offspring per litter or number of eggs per clutch.,"B,R,M",https://doi.org/10.1890/15-0846R.1,Myhrvold_2015
litters_or_clutches_per_y,,,,numeric,Number per year,.na,,,Number of litters or clutches produced per year.,"B,R,M",https://doi.org/10.1890/15-0846R.1,Myhrvold_2015
adult_body_mass_g,,,,numeric,Grams,.na,,,"Body mass using data from males, females, and/or unspecified adults.","B,R,M",https://doi.org/10.1890/15-0846R.1,Myhrvold_2015
maximum_longevity_y,,,,numeric,Years,.na,,,Maximum recorded longevity for species.,"B,R,M",https://doi.org/10.1890/15-0846R.1,Myhrvold_2015
gestation_d,,,,numeric,Days,.na,,,Length of time from conception or fertilization to birth.,M,https://doi.org/10.1890/15-0846R.1,Myhrvold_2015
weaning_d,,,,numeric,Days,.na,,,Age at which the species becomes dependent on food other than its mother's milk.,M,https://doi.org/10.1890/15-0846R.1,Myhrvold_2015
birth_or_hatching_weight_g,,,,numeric,Grams,.na,,,Weight at birth or at hatching.,"B,R,M",https://doi.org/10.1890/15-0846R.1,Myhrvold_2015
weaning_weight_g,,,,numeric,Grams,.na,,,Weight at weaning.,M,https://doi.org/10.1890/15-0846R.1,Myhrvold_2015
egg_mass_g,,,,,Grams,,,,Egg mass.,"B,R",https://doi.org/10.1890/15-0846R.1,Myhrvold_2015
incubation_d,,,,,Days,,,,Length of time between egg oviposition and hatching.,"B,R",https://doi.org/10.1890/15-0846R.1,Myhrvold_2015
fledging_age_d,,,,,Days,,,,Age of the bird when it is capable of flight.,B,https://doi.org/10.1890/15-0846R.1,Myhrvold_2015
longevity_y,,,,numeric,Years,.na,,,Age at death.,"B,R,M",https://doi.org/10.1890/15-0846R.1,Myhrvold_2015
male_maturity_d,,,,numeric,Days,.na,,,Age of sexual maturity for males.,"B,R,M",https://doi.org/10.1890/15-0846R.1,Myhrvold_2015
inter_litter_or_interbirth_interval_y,,,,numeric,Years,.na,,,Interval between successive births or ovipositions.  This can differ from litter/clutch frequency due to seasonality.,"B,R,M",https://doi.org/10.1890/15-0846R.1,Myhrvold_2015
female_body_mass_g,,,,numeric,Grams,.na,,,Body mass of female adults.,"B,R,M",https://doi.org/10.1890/15-0846R.1,Myhrvold_2015
male_body_mass_g,,,,numeric,Grams,.na,,,Body mass of male adults.,"B,R,M",https://doi.org/10.1890/15-0846R.1,Myhrvold_2015
no_sex_body_mass_g,,,,numeric,Grams,.na,,,Body mass of unspecified adults.,"B,R,M",https://doi.org/10.1890/15-0846R.1,Myhrvold_2015
egg_width_mm,,,,,Millimeters,,,,Egg width.,"B,R",https://doi.org/10.1890/15-0846R.1,Myhrvold_2015
egg_length_mm,,,,,Millimeters,,,,Egg length.,"B,R",https://doi.org/10.1890/15-0846R.1,Myhrvold_2015
fledging_mass_g,,,,,Grams,,,,Mass of the bird at the time it has developed the feathers necessary for flight.,B,https://doi.org/10.1890/15-0846R.1,Myhrvold_2015
adult_svl_cm,,,,numeric,Centimeters,.na,,,"Measure from tip of the snout to either the opening of the cloaca (Birds & Reptiles) or tail base (mammals) for male, female, and/or unspecified adults.","B,R,M",https://doi.org/10.1890/15-0846R.1,Myhrvold_2015
male_svl_cm,,,,numeric,Centimeters,.na,,,Measure from tip of the snout to the opening of the cloaca or tail base for male adults.,"B,R,M",https://doi.org/10.1890/15-0846R.1,Myhrvold_2015
female_svl_cm,,,,numeric,Centimeters,.na,,,Measure from tip of the snout to the opening of the cloaca or tail base for female adults.,"B,R,M",https://doi.org/10.1890/15-0846R.1,Myhrvold_2015
birth_or_hatching_svl_cm,,,,numeric,Centimeters,.na,,,"Measure from tip of the snout to the opening of the cloaca or tail base at the time of hatching for male, female, and/or unspecified newborn animals.","B,R, M",https://doi.org/10.1890/15-0846R.1,Myhrvold_2015
female_svl_at_maturity_cm,,,,numeric,Centimeters,.na,,,Measure from tip of the snout to the opening of the cloaca or tail base at the time of maturity for females.,"B,R,M",https://doi.org/10.1890/15-0846R.1,Myhrvold_2015
female_body_mass_at_maturity_g,,,,numeric,Grams,.na,,,Body mass at the time of maturity for females.,"B,R,M",https://doi.org/10.1890/15-0846R.1,Myhrvold_2015
no_sex_svl_cm,,,,numeric,Centimeters,.na,,,Measure from tip of the snout to the opening of the cloaca or tail base for unspecified adults.,"B,R,M",https://doi.org/10.1890/15-0846R.1,Myhrvold_2015
no_sex_maturity_d,,,,numeric,Days,.na,,,Age at sexual maturity for unspecified adults.,"B,R,M",https://doi.org/10.1890/15-0846R.1,Myhrvold_2015
body_mass,,,,numeric,g,.na,,,Value derived from the mass (weight) in grams,,https://doi.org/10.1002/ecy.2106,Gonçalvez_2018
body_length,,,,numeric,mm,.na,,,Extended dimension of an individual included body and head and measured in centimeters,,https://doi.org/10.1002/ecy.2106,Gonçalvez_2018
tail_length,,,,numeric,cm,.na,,,The dimension of tail measured in centimeters,,https://doi.org/10.1002/ecy.2106,Gonçalvez_2018
forearm,,,,numeric,mm,.na,,,The dimension of forearm measured in millimeters,,https://doi.org/10.1002/ecy.2106,Gonçalvez_2018
age,,,,categorical,.na,"adult, juvenile",.na,.na,Age of the specimens,,https://doi.org/10.1002/ecy.2106,Gonçalvez_2018
sex,,,,categorical,.na,"male, female",.na,.na,Sex of the specimens,,https://doi.org/10.1002/ecy.2106,Gonçalvez_2018
reproductive_stage,,,,categorical,.na,"pregnant, scroted",.na,.na,Reproductive stage of the specimens,,https://doi.org/10.1002/ecy.2106,Gonçalvez_2018
status,,,,categorical,.na,"dead, alive",.na,.na,Status of individual when measured,,https://doi.org/10.1002/ecy.2106,Gonçalvez_2018
Type,,,,categorical,.na,"Visitation, Seed Dispersal, Pollination, Consumption, Roost, Host, Predation, Cohabitation, Transport",.na,.na,This database only contains accounts of bats interacting with other organisms and not hypotheses that they might (e.g. a flower has chiropterophilious features). We report what is published and do not assume that every visit to a flower results in pollination or that every fruit eaten results in seed dispersal. We do assume that every object that is consumed is destroyed in the process.,"Interactions are witnessed by the author(s) or recorded via photo, video, or bat detector. In order to distinguish between interaction types, additional confirmation from evidence in fecal samples, stomachs, exclusion experiments, etc., may be necessary. If the author(s) cite an interaction from another publication, it is tagged as “secondary”.","Geiselman, C. K., & Younger, S. (2020). Bat Eco-Interactions Database.",Geiselman_2020
Habitat,,,,categorical,.na,"Forest, Wetlands, Artificial Landscape, Caves and Subterranean Areas, Rocky Areas, Savanna, Desert, Shrubland, Grassland, Captivity",.na,.na,The terrestrial habitat types used by this database are listed below and are the standard terms used in the IUCN Red List Habitats Authority File (Version 3.0). For more information please see IUCN Habitats Classification Scheme.,"It is acknowledged that the classification scheme used here may not be entirely satisfactory, but it provides a standardization of habitat types for analytical purposes. This database only report data as it is published and does not make changes or evaluates accuracy of the species accounts. ","Geiselman, C. K., & Younger, S. (2020). Bat Eco-Interactions Database.",Geiselman_2020
Forest,Habitat preference,,,binomial,.na,"Yes = 1, No = 0",.na,.na,"We described species’ major habitat breadth based on IUCN Level 1 classification https://www.iucnredlist.org/resources/habitat-classification-scheme (Caves, Forests, Savanna, Desert, Urban, Artificial, and Wetlands).",,https://doi.org/10.1038/s41597-022-01234-4,Tanalgo_2022
Savanna,Habitat preference,,,binomial,.na,"Yes = 1, No = 0",.na,.na,"We described species’ major habitat breadth based on IUCN Level 1 classification https://www.iucnredlist.org/resources/habitat-classification-scheme (Caves, Forests, Savanna, Desert, Urban, Artificial, and Wetlands).",,https://doi.org/10.1038/s41597-022-01234-4,Tanalgo_2022
Desert,Habitat preference,,,binomial,.na,"Yes = 1, No = 0",.na,.na,"We described species’ major habitat breadth based on IUCN Level 1 classification https://www.iucnredlist.org/resources/habitat-classification-scheme (Caves, Forests, Savanna, Desert, Urban, Artificial, and Wetlands).",,https://doi.org/10.1038/s41597-022-01234-4,Tanalgo_2022
Urban,Habitat preference,,,binomial,.na,"Yes = 1, No = 0",.na,.na,"We described species’ major habitat breadth based on IUCN Level 1 classification https://www.iucnredlist.org/resources/habitat-classification-scheme (Caves, Forests, Savanna, Desert, Urban, Artificial, and Wetlands).",,https://doi.org/10.1038/s41597-022-01234-4,Tanalgo_2022
Underground,Habitat preference,,,binomial,.na,"Yes = 1, No = 0",.na,.na,"We described species’ major habitat breadth based on IUCN Level 1 classification https://www.iucnredlist.org/resources/habitat-classification-scheme (Caves, Forests, Savanna, Desert, Urban, Artificial, and Wetlands).",,https://doi.org/10.1038/s41597-022-01234-4,Tanalgo_2022
Wetlands,Habitat preference,,,binomial,.na,"Yes = 1, No = 0",.na,.na,"We described species’ major habitat breadth based on IUCN Level 1 classification https://www.iucnredlist.org/resources/habitat-classification-scheme (Caves, Forests, Savanna, Desert, Urban, Artificial, and Wetlands).",,https://doi.org/10.1038/s41597-022-01234-4,Tanalgo_2022
Population.status,,,,nominal,.na,"Decreasing, Stable, Increasing, Unknown",.na,.na,"Species current conservation status (Data Deficient, Least Concern, Near Threatened, Vulnerable, Endangered, and Critically Endangered) and population trends (e.g., Unknown, Decreasing, Stable, Increasing) were categorised using standard IUCN Red List assessments.",,https://doi.org/10.1038/s41597-022-01234-4,Tanalgo_2022
Conservation.status,,,,nominal,.na,"Data.Deficient, Least.Concern, Near.Threatened, Vulnerable, Endangered, Critically.Endangered",.na,.na,"Species current conservation status (Data Deficient, Least Concern, Near Threatened, Vulnerable, Endangered, and Critically Endangered) and population trends (e.g., Unknown, Decreasing, Stable, Increasing) were categorised using standard IUCN Red List assessments.",,https://doi.org/10.1038/s41597-022-01234-4,Tanalgo_2022
Geopolitical.endemism,,,,nominal,.na,"Non.Endemic, Endemic",.na,.na,"Using the same criteria (IUCN Red List assessments), we categorised species endemism as geopolitically endemic (e.g., country-endemic, and non-endemic) when a species occurs only in a single country or state territory, and island endemism was classified as island-restricted or predominantly mainland.",,https://doi.org/10.1038/s41597-022-01234-4,Tanalgo_2022
Island.endemism,,,,nominal,.na,"Island.Endemic, Mainland",.na,.na,"Using the same criteria (IUCN Red List assessments), we categorised species endemism as geopolitically endemic (e.g., country-endemic, and non-endemic) when a species occurs only in a single country or state territory, and island endemism was classified as island-restricted or predominantly mainland.",,https://doi.org/10.1038/s41597-022-01234-4,Tanalgo_2022
Biogeographic.breadth,,,,nominal,.na,"Afrotropical, Indomalayan, Austral-Oceania, Neotropical, Palearactic, Neactic, Cosmopolitan",.na,.na,"We classified species distribution by biogeographical realm (Indomalaya, Austral-Oceania, Afrotropical, Neotropical, Palearctic, and Nearctic) and terrestrial biomes following Olson et al.",,https://doi.org/10.1038/s41597-022-01234-4,Tanalgo_2022
Feeding.groups,,,,nominal,.na,"Carnivore, Frugi-nectarivore, Omnivore",.na,.na,"For trophic groups, we derived diet information from EltonTraits 1.030. We grouped species as frugi-nectarivorous for all species that forage on plant-based resources (e.g., fruits, leaves, and nectars). As species foraging smaller vertebrates (i.e., fish, birds, and rodents) and larger invertebrates are very few, we classified them as carnivores along with insectivorous bats. Species that forage on both resources were grouped into omnivores.",,https://doi.org/10.1038/s41597-022-01234-4,Tanalgo_2022
Current.range,,,,continuous,,.na,,,Current geographical ranges were assembled from the Phylacine 1.2 database28 based on IUCN species ranges.,,https://doi.org/10.1038/s41597-022-01234-4,Tanalgo_2022
Natural.range,,,,continuous,,.na,,,"For all species, we estimated their present natural ranges (Peterken 1977), which is potential current natural ranges if species had never experienced strong anthropogenic pressures.",Trait description from Phylacine 1.2,https://doi.org/10.1038/s41597-022-01234-4,Tanalgo_2022
Generation.length,,,,continuous,,.na,,,The adult body mass (in grams) per species were derived from Phylacine 1.228 and generation length from Pacifici et al.29.,,https://doi.org/10.1038/s41597-022-01234-4,Tanalgo_2022
Body.mass (grams),,,,continuous,,.na,,,The adult body mass (in grams) per species were derived from Phylacine 1.228 and generation length from Pacifici et al.29.,,https://doi.org/10.1038/s41597-022-01234-4,Tanalgo_2022
Mining.quarrying,Direct threats,,,binomial,.na,"Yes = 1, No = 0",.na,.na,"Direct threats (Tdir) refer to the threats or risks that are direct to or in cave systems with immediate and perceivable impacts on populations or behaviour of species. This category includes direct human impacts (e.g., persecution, eviction, and cave closures) and the use of caves for harvesting bats, tourism, religious visits, and mining (minerals or guano).",,https://doi.org/10.1038/s41597-022-01234-4,Tanalgo_2022
Sacred.activities,Direct threats,,,binomial,.na,"Yes = 1, No = 0",.na,.na,"Direct threats (Tdir) refer to the threats or risks that are direct to or in cave systems with immediate and perceivable impacts on populations or behaviour of species. This category includes direct human impacts (e.g., persecution, eviction, and cave closures) and the use of caves for harvesting bats, tourism, religious visits, and mining (minerals or guano).",,https://doi.org/10.1038/s41597-022-01234-4,Tanalgo_2022
Tourism.caving,Direct threats,,,binomial,.na,"Yes = 1, No = 0",.na,.na,"Direct threats (Tdir) refer to the threats or risks that are direct to or in cave systems with immediate and perceivable impacts on populations or behaviour of species. This category includes direct human impacts (e.g., persecution, eviction, and cave closures) and the use of caves for harvesting bats, tourism, religious visits, and mining (minerals or guano).",,https://doi.org/10.1038/s41597-022-01234-4,Tanalgo_2022
Guano.extraction,Direct threats,,,binomial,.na,"Yes = 1, No = 0",.na,.na,"Direct threats (Tdir) refer to the threats or risks that are direct to or in cave systems with immediate and perceivable impacts on populations or behaviour of species. This category includes direct human impacts (e.g., persecution, eviction, and cave closures) and the use of caves for harvesting bats, tourism, religious visits, and mining (minerals or guano).",,https://doi.org/10.1038/s41597-022-01234-4,Tanalgo_2022
Vandalism,Direct threats,,,binomial,.na,"Yes = 1, No = 0",.na,.na,"Direct threats (Tdir) refer to the threats or risks that are direct to or in cave systems with immediate and perceivable impacts on populations or behaviour of species. This category includes direct human impacts (e.g., persecution, eviction, and cave closures) and the use of caves for harvesting bats, tourism, religious visits, and mining (minerals or guano).",,https://doi.org/10.1038/s41597-022-01234-4,Tanalgo_2022
Nest.harvesting,Direct threats,,,binomial,.na,"Yes = 1, No = 0",.na,.na,"Direct threats (Tdir) refer to the threats or risks that are direct to or in cave systems with immediate and perceivable impacts on populations or behaviour of species. This category includes direct human impacts (e.g., persecution, eviction, and cave closures) and the use of caves for harvesting bats, tourism, religious visits, and mining (minerals or guano).",,https://doi.org/10.1038/s41597-022-01234-4,Tanalgo_2022
Hunting.bushmeat,Direct threats,,,binomial,.na,"Yes = 1, No = 0",.na,.na,"Direct threats (Tdir) refer to the threats or risks that are direct to or in cave systems with immediate and perceivable impacts on populations or behaviour of species. This category includes direct human impacts (e.g., persecution, eviction, and cave closures) and the use of caves for harvesting bats, tourism, religious visits, and mining (minerals or guano).",,https://doi.org/10.1038/s41597-022-01234-4,Tanalgo_2022
Intensional.killings,Direct threats,,,binomial,.na,"Yes = 1, No = 0",.na,.na,"Direct threats (Tdir) refer to the threats or risks that are direct to or in cave systems with immediate and perceivable impacts on populations or behaviour of species. This category includes direct human impacts (e.g., persecution, eviction, and cave closures) and the use of caves for harvesting bats, tourism, religious visits, and mining (minerals or guano).",,https://doi.org/10.1038/s41597-022-01234-4,Tanalgo_2022
Gating,Direct threats,,,binomial,.na,"Yes = 1, No = 0",.na,.na,"Direct threats (Tdir) refer to the threats or risks that are direct to or in cave systems with immediate and perceivable impacts on populations or behaviour of species. This category includes direct human impacts (e.g., persecution, eviction, and cave closures) and the use of caves for harvesting bats, tourism, religious visits, and mining (minerals or guano).",,https://doi.org/10.1038/s41597-022-01234-4,Tanalgo_2022
Scientific.research,Direct threats,,,binomial,.na,"Yes = 1, No = 0",.na,.na,"Direct threats (Tdir) refer to the threats or risks that are direct to or in cave systems with immediate and perceivable impacts on populations or behaviour of species. This category includes direct human impacts (e.g., persecution, eviction, and cave closures) and the use of caves for harvesting bats, tourism, religious visits, and mining (minerals or guano).",,https://doi.org/10.1038/s41597-022-01234-4,Tanalgo_2022
Agricultural.conversion,Indirect threats,,,binomial,.na,"Yes = 1, No = 0",.na,.na,"Indirect threats (Tind) refer to the threats outside cave systems or within cave proximity, of which the impacts to populations are secondary or non-immediate but otherwise detrimental. Examples include deforestation, agriculture, and urbanisation.",,https://doi.org/10.1038/s41597-022-01234-4,Tanalgo_2022
Urbanisation,Indirect threats,,,binomial,.na,"Yes = 1, No = 0",.na,.na,"Indirect threats (Tind) refer to the threats outside cave systems or within cave proximity, of which the impacts to populations are secondary or non-immediate but otherwise detrimental. Examples include deforestation, agriculture, and urbanisation.",,https://doi.org/10.1038/s41597-022-01234-4,Tanalgo_2022
Deforestation,Indirect threats,,,binomial,.na,"Yes = 1, No = 0",.na,.na,"Indirect threats (Tind) refer to the threats outside cave systems or within cave proximity, of which the impacts to populations are secondary or non-immediate but otherwise detrimental. Examples include deforestation, agriculture, and urbanisation.",,https://doi.org/10.1038/s41597-022-01234-4,Tanalgo_2022
Pollution,Indirect threats,,,binomial,.na,"Yes = 1, No = 0",.na,.na,"Indirect threats (Tind) refer to the threats outside cave systems or within cave proximity, of which the impacts to populations are secondary or non-immediate but otherwise detrimental. Examples include deforestation, agriculture, and urbanisation.",,https://doi.org/10.1038/s41597-022-01234-4,Tanalgo_2022
Road.kills,Indirect threats,,,binomial,.na,"Yes = 1, No = 0",.na,.na,"Indirect threats (Tind) refer to the threats outside cave systems or within cave proximity, of which the impacts to populations are secondary or non-immediate but otherwise detrimental. Examples include deforestation, agriculture, and urbanisation.",,https://doi.org/10.1038/s41597-022-01234-4,Tanalgo_2022
Disease.parasites,Natural threats,,,binomial,.na,"Yes = 1, No = 0",.na,.na,"Lastly, Natural threats (Tnat) refer to threats that are natural in origin, though their frequency may be impacted by human activities, and that may directly or indirectly impact populations, such as diseases (e.g., White-nose syndrome) and climate-driven risks (e.g., drought, extreme cold)",,https://doi.org/10.1038/s41597-022-01234-4,Tanalgo_2022
Invasive.species,Natural threats,,,binomial,.na,"Yes = 1, No = 0",.na,.na,"Lastly, Natural threats (Tnat) refer to threats that are natural in origin, though their frequency may be impacted by human activities, and that may directly or indirectly impact populations, such as diseases (e.g., White-nose syndrome) and climate-driven risks (e.g., drought, extreme cold)",,https://doi.org/10.1038/s41597-022-01234-4,Tanalgo_2022
Fires,Natural threats,,,binomial,.na,"Yes = 1, No = 0",.na,.na,"Lastly, Natural threats (Tnat) refer to threats that are natural in origin, though their frequency may be impacted by human activities, and that may directly or indirectly impact populations, such as diseases (e.g., White-nose syndrome) and climate-driven risks (e.g., drought, extreme cold)",,https://doi.org/10.1038/s41597-022-01234-4,Tanalgo_2022
Drought,Natural threats,,,binomial,.na,"Yes = 1, No = 0",.na,.na,"Lastly, Natural threats (Tnat) refer to threats that are natural in origin, though their frequency may be impacted by human activities, and that may directly or indirectly impact populations, such as diseases (e.g., White-nose syndrome) and climate-driven risks (e.g., drought, extreme cold)",,https://doi.org/10.1038/s41597-022-01234-4,Tanalgo_2022
