trait,broaderTerm,narrowerTerm,relatedTerm,valueType,expectedUnit,factorLevels,maxAllowedValue,minAllowedValue,traitDescription,comments,source,fa_y
FifthDigitLength,NA,NA,NA,numeric,mm,.na,NA,NA,Fifth digit length,NA,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
ForearmLength,NA,NA,NA,numeric,mm,.na,NA,NA,Forearm length,NA,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
LCBLCCRatio,NA,NA,NA,numeric,.na,.na,NA,NA,Ratio condylobasal length/condylocanine length,NA,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
CM3,NA,NA,NA,numeric,mm,.na,NA,NA,Length of upper tooth row,NA,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
AspectRatioIndex,NA,NA,NA,numeric,.na,.na,NA,NA,Aspect ratio index,NA,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
WingLoadingIndex,NA,NA,NA,numeric,g/dm2,.na,NA,NA,Wing loading index,NA,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
Endoparasites,NA,NA,NA,character,.na,NA,.na,.na,Endoparasites identified in the species,NA,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
Fungi,NA,NA,NA,character,.na,NA,.na,.na,Fungal pathogens identified in the species,NA,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
Viruses,NA,NA,NA,character,.na,NA,.na,.na,Viruses identified in the species,NA,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
SeasonalActivityPatternKurtosis,NA,NA,NA,numeric,.na,.na,NA,NA,"Kurtosis index of the seasonal activity pattern: kurtosis is the measure of the sharpness of the peak of a frequency distribution, with positive values indicating heavy tails and negative values indicated light tails",NA,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
SeasonalActivityPatternSkewness,NA,NA,NA,numeric,.na,.na,NA,NA,"Skewness index of the seasonal activity pattern: if values <-0.5: indication of a substantially skewed distribution towards the spring, if values >0.5: indication of a substantially skewed distribution towards the autumn, if values [-0.5,5]: distribution fairly symmetrical with peak around mid-summer",NA,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
BasalMetabolicRate,NA,NA,NA,numeric,ml O2/h,.na,NA,NA,"calculated from measurements of heat production or oxygen consumption in an organism in post-absorptive state, and thermoneutral zone",NA,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
BasalMetabolicRatePerc,NA,NA,NA,numeric,%,.na,NA,NA,Basal rate of metabolism as a percentage of the value expected from the equation described in Genoud et al. (2018),NA,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
DigestiveEfficiency,NA,NA,NA,numeric,%,.na,NA,NA,A measure of how much of a feed or nutrient appears to be digested,NA,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
HeartRateFlight,NA,NA,NA,numeric,bpm,.na,NA,NA,"Heart rate during flight (beats per minutes, bpm)",NA,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
HeartRateResting,NA,NA,NA,numeric,bpm,.na,NA,NA,"Heart rate during rest (beats per minutes, bpm)",NA,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
HeartRateTorpor,NA,NA,NA,numeric,bpm,.na,NA,NA,"Heart rate during torpor (beats per minutes, bpm)",NA,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
MaxTorporBoutDuration,NA,NA,NA,numeric,h,.na,NA,NA,Maximum torpor bout duration,NA,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
MeanTorporBoutDuration,NA,NA,NA,numeric,h,.na,NA,NA,Mean torpor bout duration,NA,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
BodyTempTNZ,NA,NA,NA,numeric,˚C,.na,NA,NA,"Minimum body temperature of the species while in its thermoneutral zone (not corrected). The thermoneutral zone is the range of ambient temperature at which temperature regulation is achieved only by control of sensible heat loss, i.e., without regulatory changes in metabolic heat production or evaporative heat loss.",NA,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
RestingMetabolicRate,NA,NA,NA,numeric,W kg-1,.na,NA,NA,The metabolic rate of an animal that is resting in a thermoneutral environment but not in the postabsorptive state,NA,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
TotalEvaporativeWaterLossRate,NA,NA,NA,numeric,ml/h,.na,NA,NA,The sum of cutaneous evaporative water loss and respiratory evaporative water loss,NA,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
TorporBehavior,NA,NA,NA,categorical,.na,"yes, no",.na,.na,"Torpor behaviour: yes, no",NA,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
SpeciesThermalIndex,NA,NA,NA,numeric,°C,.na,NA,NA,Species thermal index: thermal preference of a species expressed as the average temperature a species experiences across its geographic range,NA,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
ResponseToNightlyTemperature,NA,NA,NA,numeric,.na,.na,NA,NA,Estimated response to temperature at night calculated from generalized linear mixed model,NA,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
ResponseToNightlyPrecipitation,NA,NA,NA,numeric,.na,.na,NA,NA,Estimated response to the amount of precipitations at night calculated from generalized linear mixed model,NA,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
ResponseToNightlyWindSpeed,NA,NA,NA,numeric,.na,.na,NA,NA,Estimated response to wind speed at night calculated from generalized linear mixed model,NA,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
GestationTime,NA,NA,NA,numeric,days,.na,NA,NA,Time of gestation,NA,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
LitterSize,NA,NA,NA,numeric,individuals,.na,NA,NA,Number of offspring per year,NA,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
SexualMaturityFemale,NA,NA,NA,numeric,days,.na,NA,NA,Average age at sexual or reproductive maturity of female,NA,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
SexualMaturityMale,NA,NA,NA,numeric,days,.na,NA,NA,Average age at sexual or reproductive maturity of male,NA,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
Weaning,NA,NA,NA,numeric,days,.na,NA,NA,Weaning time,NA,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
FirstMainHibernationRoost,NA,NA,NA,categorical,.na,"Thermally stable underground roosts (e.g. caves, mines, etc.), thermally unstable underground roosts (e.g. cellar, bunker, etc.), human-made roost (e.g. buildings, barns, churches, etc.), tree roost (e.g. holes, crevices, barck pockets, etc.), rock crevices",.na,.na,"Main hibernation roost: thermally stable underground roosts (e.g. caves, mines, etc.), thermally unstable underground roosts (e.g. cellar, bunker, etc.), human-made roost (e.g. buildings, barns, churches, etc.), tree roost (e.g. holes, crevices, barck pockets, etc.), rock crevices",NA,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
FirstMainMaternityRoost,NA,NA,NA,categorical,.na,"Thermally stable underground roosts (e.g. caves, mines, etc.), thermally unstable underground roosts (e.g. cellar, bunker, etc.), human-made roost (e.g. buildings, barns, churches, etc.), tree roost (e.g. holes, crevices, barck pockets, etc.), rock crevices",.na,.na,"Main maternity roost: thermally stable underground roosts (e.g. caves, mines, etc.), thermally unstable underground roosts (e.g. cellar, bunker, etc.), human-made roost (e.g. buildings, barns, churches, etc.), tree roost (e.g. holes, crevices, barck pockets, etc.), rock crevices",NA,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
SecondMainHibernationRoost,NA,NA,NA,categorical,.na,"Thermally stable underground roosts (e.g. caves, mines, etc.), thermally unstable underground roosts (e.g. cellar, bunker, etc.), human-made roost (e.g. buildings, barns, churches, etc.), tree roost (e.g. holes, crevices, barck pockets, etc.), rock crevices",.na,.na,"Second main hibernation roost: thermally stable underground roosts (e.g. caves, mines, etc.), thermally unstable underground roosts (e.g. cellar, bunker, etc.), human-made roost (e.g. buildings, barns, churches, etc.), tree roost (e.g. holes, crevices, barck pockets, etc.), rock crevices",NA,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
SecondMainMaternityRoost,NA,NA,NA,categorical,.na,"Thermally stable underground roosts (e.g. caves, mines, etc.), thermally unstable underground roosts (e.g. cellar, bunker, etc.), human-made roost (e.g. buildings, barns, churches, etc.), tree roost (e.g. holes, crevices, barck pockets, etc.), rock crevices",.na,.na,"Second main maternity roost: thermally stable underground roosts (e.g. caves, mines, etc.), thermally unstable underground roosts (e.g. cellar, bunker, etc.), human-made roost (e.g. buildings, barns, churches, etc.), tree roost (e.g. holes, crevices, barck pockets, etc.), rock crevices",NA,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
ThirdMainHibernationRoost,NA,NA,NA,categorical,.na,"Thermally stable underground roosts (e.g. caves, mines, etc.), thermally unstable underground roosts (e.g. cellar, bunker, etc.), human-made roost (e.g. buildings, barns, churches, etc.), tree roost (e.g. holes, crevices, barck pockets, etc.), rock crevices",.na,.na,"Third main hibernation roost: thermally stable underground roosts (e.g. caves, mines, etc.), thermally unstable underground roosts (e.g. cellar, bunker, etc.), human-made roost (e.g. buildings, barns, churches, etc.), tree roost (e.g. holes, crevices, barck pockets, etc.), rock crevices",NA,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
ThirdMainMaternityRoost,NA,NA,NA,categorical,.na,"Thermally stable underground roosts (e.g. caves, mines, etc.), thermally unstable underground roosts (e.g. cellar, bunker, etc.), human-made roost (e.g. buildings, barns, churches, etc.), tree roost (e.g. holes, crevices, barck pockets, etc.), rock crevices",.na,.na,"Third main maternity roost: thermally stable underground roosts (e.g. caves, mines, etc.), thermally unstable underground roosts (e.g. cellar, bunker, etc.), human-made roost (e.g. buildings, barns, churches, etc.), tree roost (e.g. holes, crevices, barck pockets, etc.), rock crevices",NA,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
OvergroundRoostDependence-Castle,NA,NA,NA,categorical,.na,"0: no dependence, 1: low dependence, 2: moderate dependence, 3: high dependence, 4: very high dependence, 5: extremely high dependence.",.na,.na,"Degree of dependence on castle/fortification as overground roost: 0: no dependence, 1: low dependence, 2: moderate dependence, 3: high dependence, 4: very high dependence, 5: extremely high dependence.",NA,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
OvergroundRoostDependence-Church,NA,NA,NA,categorical,.na,"0: no dependence, 1: low dependence, 2: moderate dependence, 3: high dependence, 4: very high dependence, 5: extremely high dependence.",.na,.na,"Degree of dependence on church as overground roost: 0: no dependence, 1: low dependence, 2: moderate dependence, 3: high dependence, 4: very high dependence, 5: extremely high dependence.",NA,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
OvergroundRoostDependence-House,NA,NA,NA,categorical,.na,"0: no dependence, 1: low dependence, 2: moderate dependence, 3: high dependence, 4: very high dependence, 5: extremely high dependence.",.na,.na,"Degree of dependence on house/block of flats as overground roost: 0: no dependence, 1: low dependence, 2: moderate dependence, 3: high dependence, 4: very high dependence, 5: extremely high dependence.",NA,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
OvergroundRoostDependence-Barn,NA,NA,NA,categorical,.na,"0: no dependence, 1: low dependence, 2: moderate dependence, 3: high dependence, 4: very high dependence, 5: extremely high dependence.",.na,.na,"Degree of dependence on barn/stable as overground roost: 0: no dependence, 1: low dependence, 2: moderate dependence, 3: high dependence, 4: very high dependence, 5: extremely high dependence.",NA,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
OvergroundRoostDependence-Bridge,NA,NA,NA,categorical,.na,"0: no dependence, 1: low dependence, 2: moderate dependence, 3: high dependence, 4: very high dependence, 5: extremely high dependence.",.na,.na,"Degree of dependence on bridge as overground roost: 0: no dependence, 1: low dependence, 2: moderate dependence, 3: high dependence, 4: very high dependence, 5: extremely high dependence.",NA,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
OvergroundRoostDependence-Tree,NA,NA,NA,categorical,.na,"0: no dependence, 1: low dependence, 2: moderate dependence, 3: high dependence, 4: very high dependence, 5: extremely high dependence.",.na,.na,"Degree of dependence on tree as overground roost: 0: no dependence, 1: low dependence, 2: moderate dependence, 3: high dependence, 4: very high dependence, 5: extremely high dependence.",NA,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
MeanNightlyDistance,NA,NA,NA,numeric,m,.na,NA,NA,Mean average daily distance between roost and foraging habitats,NA,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
MaxNightlyDistance,NA,NA,NA,numeric,m,.na,NA,NA,Mean maximum daily distance between roost and foraging habitats,NA,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
HomeRange,NA,NA,NA,numeric,ha,.na,NA,NA,"Area routinely used by an individual to satisfy its daily needs: mean, median, min, max and cumulated.",NA,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
DispersalDistances,NA,NA,NA,numeric,km,.na,NA,NA,"Regular dispersal distances, includes both natal dispersal of juveniles and dispersal of adults for mating / hibernation",NA,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
MaxRecordedMovement,NA,NA,NA,numeric,km,.na,NA,NA,Maximum recorded seasonal movement (includes migration movement),NA,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
ManoeuvrabilityTurningDiameter,NA,NA,NA,numeric,m,.na,NA,NA,"Estimated realistic turning diameter for minimum flight speed, using values for ﬂight characteristics (ﬂight speed, wing loading) and body measures (body mass, wing area)",NA,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
PropFlightAtHeight,NA,NA,NA,numeric,%,.na,NA,NA,Proportion of flights at height,NA,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
wingspan,NA,NA,NA,numeric,cm,.na,NA,NA,"The linear distance from wing tip to wing tip, or the distance from the midline of the body to a single wing tip, doubled",NA,https://doi.org/10.1111/mam.12270,Crane_2022
wing_surface_area,NA,NA,NA,numeric,cm2,.na,NA,NA,The full area of the patagium,NA,https://doi.org/10.1111/mam.12270,Crane_2022
lifting_surface_area,NA,NA,NA,numeric,cm2,.na,NA,NA,"The total area of the patagium, uropatagium (if present), and body excluding the head",NA,https://doi.org/10.1111/mam.12270,Crane_2022
wing_area_rec,NA,NA,NA,numeric,cm2,.na,NA,NA,The rectangular approximation of the patagium based on the wing length (measured from the edge of the body to the wing tip) multiplied by the wing width (measured from the end of the fifth digit to the tip of the fifth digit),NA,https://doi.org/10.1111/mam.12270,Crane_2022
partial_aspect_ratio,NA,NA,NA,numeric,.na,.na,NA,NA,"The wingspan squared, divided by wing_area",NA,https://doi.org/10.1111/mam.12270,Crane_2022
total_aspect_ratio,NA,NA,NA,numeric,.na,.na,NA,NA,"The wingspan squared, divided by lifting_surface_area",NA,https://doi.org/10.1111/mam.12270,Crane_2022
partial_wing_loading,NA,NA,NA,numeric,Nm−2,.na,NA,NA,Body weight divided by wing_surface_area,NA,https://doi.org/10.1111/mam.12270,Crane_2022
total_wing_loading,NA,NA,NA,numeric,Nm−2,.na,NA,NA,Body weight divided by lifting_surface_area,NA,https://doi.org/10.1111/mam.12270,Crane_2022
relative_partial_loading,NA,NA,NA,numeric,.na,.na,NA,NA,"partial_wing_loading divided by body mass raised to the 1/3 power. Body mass, not weight should be used",NA,https://doi.org/10.1111/mam.12270,Crane_2022
relative_total_loading,NA,NA,NA,numeric,.na,.na,NA,NA,"total_wing_loading divided by body mass raised to 1/3. Body mass, not weight should be used",NA,https://doi.org/10.1111/mam.12270,Crane_2022
female_maturity_d,NA,NA,NA,numeric,Days,.na,NA,NA,Age at first conception.,"B,R,M",https://doi.org/10.1890/15-0846R.1,Myhrvold_2015
litter_or_clutch_size_n,NA,NA,NA,numeric,Number,.na,NA,NA,Number of offspring per litter or number of eggs per clutch.,"B,R,M",https://doi.org/10.1890/15-0846R.1,Myhrvold_2015
litters_or_clutches_per_y,NA,NA,NA,numeric,Number per year,.na,NA,NA,Number of litters or clutches produced per year.,"B,R,M",https://doi.org/10.1890/15-0846R.1,Myhrvold_2015
adult_body_mass_g,NA,NA,NA,numeric,Grams,.na,NA,NA,"Body mass using data from males, females, and/or unspecified adults.","B,R,M",https://doi.org/10.1890/15-0846R.1,Myhrvold_2015
maximum_longevity_y,NA,NA,NA,numeric,Years,.na,NA,NA,Maximum recorded longevity for species.,"B,R,M",https://doi.org/10.1890/15-0846R.1,Myhrvold_2015
gestation_d,NA,NA,NA,numeric,Days,.na,NA,NA,Length of time from conception or fertilization to birth.,M,https://doi.org/10.1890/15-0846R.1,Myhrvold_2015
weaning_d,NA,NA,NA,numeric,Days,.na,NA,NA,Age at which the species becomes dependent on food other than its mother's milk.,M,https://doi.org/10.1890/15-0846R.1,Myhrvold_2015
birth_or_hatching_weight_g,NA,NA,NA,numeric,Grams,.na,NA,NA,Weight at birth or at hatching.,"B,R,M",https://doi.org/10.1890/15-0846R.1,Myhrvold_2015
weaning_weight_g,NA,NA,NA,numeric,Grams,.na,NA,NA,Weight at weaning.,M,https://doi.org/10.1890/15-0846R.1,Myhrvold_2015
egg_mass_g,NA,NA,NA,NA,Grams,NA,NA,NA,Egg mass.,"B,R",https://doi.org/10.1890/15-0846R.1,Myhrvold_2015
incubation_d,NA,NA,NA,NA,Days,NA,NA,NA,Length of time between egg oviposition and hatching.,"B,R",https://doi.org/10.1890/15-0846R.1,Myhrvold_2015
fledging_age_d,NA,NA,NA,NA,Days,NA,NA,NA,Age of the bird when it is capable of flight.,B,https://doi.org/10.1890/15-0846R.1,Myhrvold_2015
longevity_y,NA,NA,NA,numeric,Years,.na,NA,NA,Age at death.,"B,R,M",https://doi.org/10.1890/15-0846R.1,Myhrvold_2015
male_maturity_d,NA,NA,NA,numeric,Days,.na,NA,NA,Age of sexual maturity for males.,"B,R,M",https://doi.org/10.1890/15-0846R.1,Myhrvold_2015
inter_litter_or_interbirth_interval_y,NA,NA,NA,numeric,Years,.na,NA,NA,Interval between successive births or ovipositions.  This can differ from litter/clutch frequency due to seasonality.,"B,R,M",https://doi.org/10.1890/15-0846R.1,Myhrvold_2015
female_body_mass_g,NA,NA,NA,numeric,Grams,.na,NA,NA,Body mass of female adults.,"B,R,M",https://doi.org/10.1890/15-0846R.1,Myhrvold_2015
male_body_mass_g,NA,NA,NA,numeric,Grams,.na,NA,NA,Body mass of male adults.,"B,R,M",https://doi.org/10.1890/15-0846R.1,Myhrvold_2015
no_sex_body_mass_g,NA,NA,NA,numeric,Grams,.na,NA,NA,Body mass of unspecified adults.,"B,R,M",https://doi.org/10.1890/15-0846R.1,Myhrvold_2015
egg_width_mm,NA,NA,NA,NA,Millimeters,NA,NA,NA,Egg width.,"B,R",https://doi.org/10.1890/15-0846R.1,Myhrvold_2015
egg_length_mm,NA,NA,NA,NA,Millimeters,NA,NA,NA,Egg length.,"B,R",https://doi.org/10.1890/15-0846R.1,Myhrvold_2015
fledging_mass_g,NA,NA,NA,NA,Grams,NA,NA,NA,Mass of the bird at the time it has developed the feathers necessary for flight.,B,https://doi.org/10.1890/15-0846R.1,Myhrvold_2015
adult_svl_cm,NA,NA,NA,numeric,Centimeters,.na,NA,NA,"Measure from tip of the snout to either the opening of the cloaca (Birds & Reptiles) or tail base (mammals) for male, female, and/or unspecified adults.","B,R,M",https://doi.org/10.1890/15-0846R.1,Myhrvold_2015
male_svl_cm,NA,NA,NA,numeric,Centimeters,.na,NA,NA,Measure from tip of the snout to the opening of the cloaca or tail base for male adults.,"B,R,M",https://doi.org/10.1890/15-0846R.1,Myhrvold_2015
female_svl_cm,NA,NA,NA,numeric,Centimeters,.na,NA,NA,Measure from tip of the snout to the opening of the cloaca or tail base for female adults.,"B,R,M",https://doi.org/10.1890/15-0846R.1,Myhrvold_2015
birth_or_hatching_svl_cm,NA,NA,NA,numeric,Centimeters,.na,NA,NA,"Measure from tip of the snout to the opening of the cloaca or tail base at the time of hatching for male, female, and/or unspecified newborn animals.","B,R, M",https://doi.org/10.1890/15-0846R.1,Myhrvold_2015
female_svl_at_maturity_cm,NA,NA,NA,numeric,Centimeters,.na,NA,NA,Measure from tip of the snout to the opening of the cloaca or tail base at the time of maturity for females.,"B,R,M",https://doi.org/10.1890/15-0846R.1,Myhrvold_2015
female_body_mass_at_maturity_g,NA,NA,NA,numeric,Grams,.na,NA,NA,Body mass at the time of maturity for females.,"B,R,M",https://doi.org/10.1890/15-0846R.1,Myhrvold_2015
no_sex_svl_cm,NA,NA,NA,numeric,Centimeters,.na,NA,NA,Measure from tip of the snout to the opening of the cloaca or tail base for unspecified adults.,"B,R,M",https://doi.org/10.1890/15-0846R.1,Myhrvold_2015
no_sex_maturity_d,NA,NA,NA,numeric,Days,.na,NA,NA,Age at sexual maturity for unspecified adults.,"B,R,M",https://doi.org/10.1890/15-0846R.1,Myhrvold_2015
body_mass,NA,NA,NA,numeric,g,.na,NA,NA,Value derived from the mass (weight) in grams,NA,https://doi.org/10.1002/ecy.2106,Gonçalvez_2018
body_length,NA,NA,NA,numeric,mm,.na,NA,NA,Extended dimension of an individual included body and head and measured in centimeters,NA,https://doi.org/10.1002/ecy.2106,Gonçalvez_2018
tail_length,NA,NA,NA,numeric,cm,.na,NA,NA,The dimension of tail measured in centimeters,NA,https://doi.org/10.1002/ecy.2106,Gonçalvez_2018
forearm,NA,NA,NA,numeric,mm,.na,NA,NA,The dimension of forearm measured in millimeters,NA,https://doi.org/10.1002/ecy.2106,Gonçalvez_2018
age,NA,NA,NA,categorical,.na,"adult, juvenile",.na,.na,Age of the specimens,NA,https://doi.org/10.1002/ecy.2106,Gonçalvez_2018
sex,NA,NA,NA,categorical,.na,"male, female",.na,.na,Sex of the specimens,NA,https://doi.org/10.1002/ecy.2106,Gonçalvez_2018
reproductive_stage,NA,NA,NA,categorical,.na,"pregnant, scroted",.na,.na,Reproductive stage of the specimens,NA,https://doi.org/10.1002/ecy.2106,Gonçalvez_2018
status,NA,NA,NA,categorical,.na,"dead, alive",.na,.na,Status of individual when measured,NA,https://doi.org/10.1002/ecy.2106,Gonçalvez_2018
Type,NA,NA,NA,categorical,.na,"Visitation, Seed Dispersal, Pollination, Consumption, Roost, Host, Predation, Cohabitation, Transport",.na,.na,This database only contains accounts of bats interacting with other organisms and not hypotheses that they might (e.g. a flower has chiropterophilious features). We report what is published and do not assume that every visit to a flower results in pollination or that every fruit eaten results in seed dispersal. We do assume that every object that is consumed is destroyed in the process.,"Interactions are witnessed by the author(s) or recorded via photo, video, or bat detector. In order to distinguish between interaction types, additional confirmation from evidence in fecal samples, stomachs, exclusion experiments, etc., may be necessary. If the author(s) cite an interaction from another publication, it is tagged as “secondary”.","Geiselman, C. K., & Younger, S. (2020). Bat Eco-Interactions Database.",Geiselman_2020
Habitat,NA,NA,NA,categorical,.na,"Forest, Wetlands, Artificial Landscape, Caves and Subterranean Areas, Rocky Areas, Savanna, Desert, Shrubland, Grassland, Captivity",.na,.na,The terrestrial habitat types used by this database are listed below and are the standard terms used in the IUCN Red List Habitats Authority File (Version 3.0). For more information please see IUCN Habitats Classification Scheme.,"It is acknowledged that the classification scheme used here may not be entirely satisfactory, but it provides a standardization of habitat types for analytical purposes. This database only report data as it is published and does not make changes or evaluates accuracy of the species accounts.","Geiselman, C. K., & Younger, S. (2020). Bat Eco-Interactions Database.",Geiselman_2020
Forest,Habitat preference,NA,NA,binomial,.na,"Yes = 1, No = 0",.na,.na,"We described species’ major habitat breadth based on IUCN Level 1 classification https://www.iucnredlist.org/resources/habitat-classification-scheme (Caves, Forests, Savanna, Desert, Urban, Artificial, and Wetlands).",NA,https://doi.org/10.1038/s41597-022-01234-4,Tanalgo_2022
Savanna,Habitat preference,NA,NA,binomial,.na,"Yes = 1, No = 0",.na,.na,"We described species’ major habitat breadth based on IUCN Level 1 classification https://www.iucnredlist.org/resources/habitat-classification-scheme (Caves, Forests, Savanna, Desert, Urban, Artificial, and Wetlands).",NA,https://doi.org/10.1038/s41597-022-01234-4,Tanalgo_2022
Desert,Habitat preference,NA,NA,binomial,.na,"Yes = 1, No = 0",.na,.na,"We described species’ major habitat breadth based on IUCN Level 1 classification https://www.iucnredlist.org/resources/habitat-classification-scheme (Caves, Forests, Savanna, Desert, Urban, Artificial, and Wetlands).",NA,https://doi.org/10.1038/s41597-022-01234-4,Tanalgo_2022
Urban,Habitat preference,NA,NA,binomial,.na,"Yes = 1, No = 0",.na,.na,"We described species’ major habitat breadth based on IUCN Level 1 classification https://www.iucnredlist.org/resources/habitat-classification-scheme (Caves, Forests, Savanna, Desert, Urban, Artificial, and Wetlands).",NA,https://doi.org/10.1038/s41597-022-01234-4,Tanalgo_2022
Underground,Habitat preference,NA,NA,binomial,.na,"Yes = 1, No = 0",.na,.na,"We described species’ major habitat breadth based on IUCN Level 1 classification https://www.iucnredlist.org/resources/habitat-classification-scheme (Caves, Forests, Savanna, Desert, Urban, Artificial, and Wetlands).",NA,https://doi.org/10.1038/s41597-022-01234-4,Tanalgo_2022
Wetlands,Habitat preference,NA,NA,binomial,.na,"Yes = 1, No = 0",.na,.na,"We described species’ major habitat breadth based on IUCN Level 1 classification https://www.iucnredlist.org/resources/habitat-classification-scheme (Caves, Forests, Savanna, Desert, Urban, Artificial, and Wetlands).",NA,https://doi.org/10.1038/s41597-022-01234-4,Tanalgo_2022
Population.status,NA,NA,NA,nominal,.na,"Decreasing, Stable, Increasing, Unknown",.na,.na,"Species current conservation status (Data Deficient, Least Concern, Near Threatened, Vulnerable, Endangered, and Critically Endangered) and population trends (e.g., Unknown, Decreasing, Stable, Increasing) were categorised using standard IUCN Red List assessments.",NA,https://doi.org/10.1038/s41597-022-01234-4,Tanalgo_2022
Conservation.status,NA,NA,NA,nominal,.na,"Data.Deficient, Least.Concern, Near.Threatened, Vulnerable, Endangered, Critically.Endangered",.na,.na,"Species current conservation status (Data Deficient, Least Concern, Near Threatened, Vulnerable, Endangered, and Critically Endangered) and population trends (e.g., Unknown, Decreasing, Stable, Increasing) were categorised using standard IUCN Red List assessments.",NA,https://doi.org/10.1038/s41597-022-01234-4,Tanalgo_2022
Geopolitical.endemism,NA,NA,NA,nominal,.na,"Non.Endemic, Endemic",.na,.na,"Using the same criteria (IUCN Red List assessments), we categorised species endemism as geopolitically endemic (e.g., country-endemic, and non-endemic) when a species occurs only in a single country or state territory, and island endemism was classified as island-restricted or predominantly mainland.",NA,https://doi.org/10.1038/s41597-022-01234-4,Tanalgo_2022
Island.endemism,NA,NA,NA,nominal,.na,"Island.Endemic, Mainland",.na,.na,"Using the same criteria (IUCN Red List assessments), we categorised species endemism as geopolitically endemic (e.g., country-endemic, and non-endemic) when a species occurs only in a single country or state territory, and island endemism was classified as island-restricted or predominantly mainland.",NA,https://doi.org/10.1038/s41597-022-01234-4,Tanalgo_2022
Biogeographic.breadth,NA,NA,NA,nominal,.na,"Afrotropical, Indomalayan, Austral-Oceania, Neotropical, Palearactic, Neactic, Cosmopolitan",.na,.na,"We classified species distribution by biogeographical realm (Indomalaya, Austral-Oceania, Afrotropical, Neotropical, Palearctic, and Nearctic) and terrestrial biomes following Olson et al.",NA,https://doi.org/10.1038/s41597-022-01234-4,Tanalgo_2022
Feeding.groups,NA,NA,NA,nominal,.na,"Carnivore, Frugi-nectarivore, Omnivore",.na,.na,"For trophic groups, we derived diet information from EltonTraits 1.030. We grouped species as frugi-nectarivorous for all species that forage on plant-based resources (e.g., fruits, leaves, and nectars). As species foraging smaller vertebrates (i.e., fish, birds, and rodents) and larger invertebrates are very few, we classified them as carnivores along with insectivorous bats. Species that forage on both resources were grouped into omnivores.",NA,https://doi.org/10.1038/s41597-022-01234-4,Tanalgo_2022
